row,category,model,schema,size_mb,mep,mep_geom,structural,struct_geom,halos,clashes,minor,major,critical,piping,with_material,bcf_valid,seconds,status
1,hospital,Clinic_Architectural.ifc,IFC2X3,13.0,0,0,1617,1617,0,0,0,0,0,102,102,VALID,5.0,ok
2,hospital,Clinic_Structural.ifc,IFC2X3,19.06,0,0,1068,1068,0,0,0,0,0,0,0,VALID,22.7,ok
3,hospital,Clinic_HVAC.ifc,IFC2X3,26.91,1548,1548,0,0,1548,3070,2760,308,2,3704,502,VALID,50.6,ok
4,hospital,Clinic_Electrical.ifc,IFC2X3,6.8,0,0,0,0,0,0,0,0,0,2089,2089,VALID,26.3,ok
5,hospital,Clinic_Plumbing.ifc,IFC2X3,55.83,2893,2893,0,0,2893,15534,15479,55,0,6587,6587,VALID,116.7,ok
6,hospital,west_riverside_hospital — Architecture (IFC4,IFC4,80.94,0,0,8935,8935,0,0,0,0,0,0,0,VALID,60.8,ok
7,hospital,west_riverside_hospital — Structural (IFC4),IFC4,6.48,0,0,2822,2822,0,0,0,0,0,0,0,VALID,25.6,ok
8,hospital,west_riverside_hospital — Mechanical/HVAC (I,IFC4,73.05,8732,8732,0,0,8732,41128,38705,1978,445,17424,0,VALID,265.1,ok
9,hospital,west_riverside_hospital — Plumbing (IFC4),IFC4,23.76,4308,4308,0,0,4308,21800,21702,98,0,8539,0,VALID,104.8,ok
10,hospital,west_riverside_hospital — Electrical (IFC4),IFC4,4.44,84,84,0,0,84,178,142,36,0,1673,121,VALID,13.9,ok
11,hospital,west_riverside_hospital — Fire Alarm (IFC4),IFC4,0.91,0,0,0,0,0,0,0,0,0,861,1,VALID,4.3,ok
12,hospital,west_riverside_hospital — Sprinklers (IFC4),IFC4,33.99,6228,6228,0,0,6228,17538,17494,44,0,13490,1302,VALID,124.0,ok
13,hospital,west_riverside_hospital — Mechanical (IFC2X3,IFC2X3,78.76,8732,8732,0,0,8732,41174,38751,1978,445,18488,0,VALID,249.5,ok
14,hospital,west_riverside_hospital — Plumbing (IFC2X3 t,IFC2X3,25.0,4308,4308,0,0,4308,21800,21702,98,0,9013,334,VALID,109.7,ok
15,hospital,NBU_MedicalClinic (zip: ARC+MEP+HVAC+ELE+STR,IFC2X3,207.34,5952,5952,0,0,5952,27472,26595,846,31,16012,16008,VALID,632.6,ok
16,hospital,GVA Sanitario.ifc,IFC2X3,6.96,0,0,664,664,0,0,0,0,0,0,0,VALID,5.9,ok
18,office,Duplex_A_20110907.ifc,IFC2X3,2.38,0,0,97,97,0,0,0,0,0,0,0,VALID,2.0,ok
19,office,Duplex_Electrical_20121207.ifc,IFC2X3,1.6,0,0,0,0,0,0,0,0,0,99,99,VALID,2.1,ok
20,office,Duplex_MEP_20110907.ifc,IFC2X3,17.87,427,427,0,0,427,2590,2590,0,0,926,926,VALID,22.8,ok
21,office,Duplex_Plumbing_20121113.ifc,IFC2X3,31.56,231,231,0,0,231,1528,1528,0,0,498,498,VALID,20.2,ok
22,office,AC20-Institute-Var-2.ifc,IFC4,10.93,0,0,149,149,0,0,0,0,0,0,0,VALID,10.1,ok
23,office,AC20-FZK-Haus.ifc,IFC4,2.57,0,0,63,63,0,0,0,0,0,0,0,VALID,6.0,ok
24,office,DigitalHub_FM-ARC_v2.ifc,IFC4,9.02,0,0,357,357,0,0,0,0,0,0,0,VALID,12.1,ok
25,office,DigitalHub_FM-HZG_v2.ifc,IFC4,20.89,914,914,0,0,914,8000,8000,0,0,1795,881,VALID,49.3,ok
26,office,DigitalHub_FM-LFT_v2.ifc,IFC4,12.74,595,595,0,0,595,906,797,109,0,1310,1310,VALID,22.9,ok
27,office,DigitalHub_FM-SAN_v2.ifc,IFC4,25.18,504,504,0,0,504,3784,3756,28,0,1010,506,VALID,31.1,ok
28,office,wbdg_office — Architecture,IFC2X3,4.1,0,0,497,497,0,0,0,0,0,31,31,VALID,4.8,ok
29,office,wbdg_office — MEP,IFC2X3,41.89,1959,1959,0,0,1959,8256,8047,202,7,5697,5697,VALID,162.1,ok
30,office,wbdg_office — Structural,IFC2X3,11.07,0,0,495,495,0,0,0,0,0,0,0,VALID,24.8,ok
31,office,Molio_with_URIs.ifc,IFC2X3,73.95,0,0,267,160,0,0,0,0,0,48,0,VALID,28.6,ok
32,office,GVA Administrativo.ifc,IFC2X3,7.21,0,0,338,338,0,0,0,0,0,0,0,VALID,5.0,ok
33,office,IFC Schependomlaan.ifc,IFC2X3,49.29,60,60,1419,1364,60,407,279,124,4,73,73,VALID,25.5,ok
34,industrial,craslabbim.ifc,IFC2X3,67.55,0,0,76,76,0,0,0,0,0,0,0,VALID,27.1,ok
35,industrial,SGD_BODO_ifc.zip (ARC+PLB+VENT),-,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,error
36,industrial,Academic_Autodesk_ifc.zip (Basic + Advanced),IFC2X3,38.07,0,0,3649,3649,0,0,0,0,0,41,41,VALID,31.6,ok
37,industrial,Autodesk_210-King_ifc.zip,IFC2X3,155.15,2261,2261,4283,4283,2261,8351,3254,795,4302,6496,904,VALID,1286.9,ok
38,industrial,aisc_sculpture_brep.ifc,IFC2X3,0.55,0,0,87,87,0,0,0,0,0,0,0,VALID,0.7,ok
39,industrial,aisc_sculpture_param.ifc,IFC2X3,0.32,0,0,87,87,0,0,0,0,0,0,0,VALID,0.5,ok
