row,model,bytes,entries,topics,complete_topics,xml_ok,xml_bad,root_files,verdict
1,Clinic_Architectural.ifc,598,2,0,0,2,0,yes,VALID
2,Clinic_Structural.ifc,599,2,0,0,2,0,yes,VALID
3,Clinic_HVAC.ifc,5806134,9212,3070,3070,6142,0,yes,VALID
4,Clinic_Electrical.ifc,597,2,0,0,2,0,yes,VALID
5,Clinic_Plumbing.ifc,29421384,46604,15534,15534,31070,0,yes,VALID
6,west_riverside_hospital — Architectu,616,2,0,0,2,0,yes,VALID
7,west_riverside_hospital — Structural,616,2,0,0,2,0,yes,VALID
8,west_riverside_hospital — Mechanical,77806873,123386,41128,41128,82258,0,yes,VALID
9,west_riverside_hospital — Plumbing (,41143663,65402,21800,21800,43602,0,yes,VALID
10,west_riverside_hospital — Electrical,339624,536,178,178,358,0,yes,VALID
11,west_riverside_hospital — Fire Alarm,615,2,0,0,2,0,yes,VALID
12,west_riverside_hospital — Sprinklers,33085232,52616,17538,17538,35078,0,yes,VALID
13,west_riverside_hospital — Mechanical,77850059,123524,41174,41174,82350,0,yes,VALID
14,west_riverside_hospital — Plumbing (,41128420,65402,21800,21800,43602,0,yes,VALID
15,NBU_MedicalClinic (zip: ARC+MEP+HVAC,52259784,82418,27472,27472,54946,0,yes,VALID
16,GVA Sanitario.ifc,594,2,0,0,2,0,yes,VALID
18,Duplex_A_20110907.ifc,601,2,0,0,2,0,yes,VALID
19,Duplex_Electrical_20121207.ifc,605,2,0,0,2,0,yes,VALID
20,Duplex_MEP_20110907.ifc,4923726,7772,2590,2590,5182,0,yes,VALID
21,Duplex_Plumbing_20121113.ifc,2885965,4586,1528,1528,3058,0,yes,VALID
22,AC20-Institute-Var-2.ifc,600,2,0,0,2,0,yes,VALID
23,AC20-FZK-Haus.ifc,597,2,0,0,2,0,yes,VALID
24,DigitalHub_FM-ARC_v2.ifc,605,2,0,0,2,0,yes,VALID
25,DigitalHub_FM-HZG_v2.ifc,15153503,24002,8000,8000,16002,0,yes,VALID
26,DigitalHub_FM-LFT_v2.ifc,1713622,2720,906,906,1814,0,yes,VALID
27,DigitalHub_FM-SAN_v2.ifc,7148456,11354,3784,3784,7570,0,yes,VALID
28,wbdg_office — Architecture,600,2,0,0,2,0,yes,VALID
29,wbdg_office — MEP,15701208,24770,8256,8256,16514,0,yes,VALID
30,wbdg_office — Structural,602,2,0,0,2,0,yes,VALID
31,Molio_with_URIs.ifc,597,2,0,0,2,0,yes,VALID
32,GVA Administrativo.ifc,597,2,0,0,2,0,yes,VALID
33,IFC Schependomlaan.ifc,776088,1223,407,407,816,0,yes,VALID
34,craslabbim.ifc,590,2,0,0,2,0,yes,VALID
35,SGD_BODO_ifc.zip (ARC+PLB+VENT),0,0,0,0,0,0,no,missing
36,Academic_Autodesk_ifc.zip (Basic + A,617,2,0,0,2,0,yes,VALID
37,Autodesk_210-King_ifc.zip,15935704,25055,8351,8351,16704,0,yes,VALID
38,aisc_sculpture_brep.ifc,602,2,0,0,2,0,yes,VALID
39,aisc_sculpture_param.ifc,603,2,0,0,2,0,yes,VALID
